type,rcvTime,sendTime,sender,messageID,pos,pos_noise,spd,spd_noise,RSSI,repetition,attackerDensity,attackerType
3,10800.39289,10800.39278,13,38,"[3597.1520859538705, 5542.199221013564, 1.895]","[0.0, 0.0, 0.0]","[-3.178365760312756, 38.7989694164331, 0.0]","[0.0, 0.0, 0.0]",1.12E-07,0,0.1,0
3,10800.45626,10800.45615,31,104,"[3596.8058614714364, 5692.1134167356, 1.895]","[0.0, 0.0, 0.0]","[1.2824674250276291, -29.864002810956773, 0.0]","[0.0, 0.0, 0.0]",3.22E-09,0,0.1,0
3,10800.58213,10800.58202,25,137,"[3597.77049261071, 5764.800892637684, 1.895]","[0.0, 0.0, 0.0]","[-0.02016117102026233, -34.568847861282705, 0.0]","[0.0, 0.0, 0.0]",2.90E-09,0,0.1,0
3,10800.67075,10800.67064,43,172,"[3822.8920061526037, 5266.806009069768, 1.895]","[0.0, 0.0, 0.0]","[1.3053621258759607, -0.9887296651368706, 0.0]","[0.0, 0.0, 0.0]",1.75E-08,0,0.1,0
3,10800.87013,10800.87001,19,193,"[3617.100033807479, 5417.782781289675, 1.895]","[0.0, 0.0, 0.0]","[4.9379503396949564, -39.87757802978829, 0.0]","[0.0, 0.0, 0.0]",3.71E-07,0,0.1,0
3,10801.3929,10801.39278,13,257,"[3593.982139694547, 5580.895411836837, 1.895]","[0.0, 0.0, 0.0]","[-3.1662249425121356, 38.65076393787597, 0.0]","[0.0, 0.0, 0.0]",2.49E-08,0,0.1,0
3,10801.45627,10801.45615,31,317,"[3598.0910889609227, 5662.1851420599705, 1.895]","[0.0, 0.0, 0.0]","[1.2827194215970819, -29.869870894753344, 0.0]","[0.0, 0.0, 0.0]",9.64E-09,0,0.1,0
3,10801.58213,10801.58202,25,350,"[3598.458786986237, 5730.5230103800095, 1.895]","[0.0, 0.0, 0.0]","[1.4598615912931678, -34.0257489797638, 0.0]","[0.0, 0.0, 0.0]",8.71E-09,0,0.1,0
3,10801.67076,10801.67064,43,381,"[3825.1961086986253, 5265.1973348684, 1.895]","[0.0, 0.0, 0.0]","[3.057783376452038, -2.2014119284437217, 0.0]","[0.0, 0.0, 0.0]",1.13E-08,0,0.1,0
3,10801.87012,10801.87001,19,410,"[3622.053411372471, 5377.780617077725, 1.895]","[0.0, 0.0, 0.0]","[4.947129899297883, -39.95170971986224, 0.0]","[0.0, 0.0, 0.0]",5.94E-09,0,0.1,0
3,10802.3929,10802.39278,13,439,"[3590.8061736716168, 5619.665087161795, 1.895]","[0.0, 0.0, 0.0]","[-3.1742138726183526, 38.74828646303853, 0.0]","[0.0, 0.0, 0.0]",2.27E-09,0,0.1,0
3,10802.45626,10802.45615,31,493,"[3599.8680687225988, 5632.305432029379, 1.895]","[0.0, 0.0, 0.0]","[2.5079472035336616, -29.791207268132045, 0.0]","[0.0, 0.0, 0.0]",2.54E-09,0,0.1,0
