type,rcvTime,sendTime,sender,messageID,pos_noise,spd_noise,RSSI,spdX,spdY,spdZ,posX,posY,posZ,repetition,attackerDensity,attackerType
3,10800.392893331087,10800.392784793165,13,38,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.1152872111938314e-07,-3.178365760312756,38.7989694164331,0.0,3597.1520859538705,5542.199221013564,1.895,0,0.1,0
3,10800.456257969776,10800.456150335958,31,104,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",3.218739521509698e-09,1.2824674250276291,-29.864002810956773,0.0,3596.8058614714364,5692.1134167356,1.895,0,0.1,0
3,10800.582131455656,10800.58201979124,25,137,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",2.9002479422615628e-09,-0.02016117102026233,-34.568847861282705,0.0,3597.77049261071,5764.800892637684,1.895,0,0.1,0
3,10800.670748173432,10800.6706378737,43,172,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.746130740340401e-08,1.3053621258759607,-0.9887296651368706,0.0,3822.8920061526037,5266.806009069768,1.895,0,0.1,0
3,10800.870127664493,10800.870012145257,19,193,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",3.710397785411857e-07,4.9379503396949564,-39.87757802978829,0.0,3617.100033807479,5417.782781289675,1.895,0,0.1,0
3,10801.392901556192,10801.392784793165,13,257,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",2.4920116556467517e-08,-3.1662249425121356,38.65076393787597,0.0,3593.982139694547,5580.895411836837,1.895,0,0.1,0
3,10801.456265790384,10801.456150335958,31,317,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.640261643785642e-09,1.2827194215970819,-29.869870894753344,0.0,3598.0910889609227,5662.1851420599705,1.895,0,0.1,0
3,10801.582126247231,10801.58201979124,25,350,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",8.708451187475431e-09,1.4598615912931678,-34.0257489797638,0.0,3598.458786986237,5730.5230103800095,1.895,0,0.1,0
3,10801.670756171652,10801.6706378737,43,381,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.1264257782817307e-08,3.057783376452038,-2.2014119284437217,0.0,3825.1961086986253,5265.1973348684,1.895,0,0.1,0
3,10801.870118306302,10801.870012145257,19,410,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",5.939836493343718e-09,4.947129899297883,-39.95170971986224,0.0,3622.053411372471,5377.780617077725,1.895,0,0.1,0
3,10802.392895062767,10802.392784793165,13,439,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",2.2692792540808153e-09,-3.1742138726183526,38.74828646303853,0.0,3590.8061736716168,5619.665087161795,1.895,0,0.1,0
3,10802.456258892427,10802.456150335958,31,493,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",2.540990995999349e-09,2.5079472035336616,-29.791207268132045,0.0,3599.8680687225988,5632.305432029379,1.895,0,0.1,0
